Date,TM,SHELL,AAPL
2/17/2022,186.539993,1810.310181,166.552948
2/18/2022,188.970001,1777.972046,164.99472
2/22/2022,185.639999,1766.777344,162.055801
2/23/2022,183.839996,1755.22168,157.864334
2/24/2022,182.229996,1764.610474,160.497528
2/25/2022,185.380005,1754.318726,162.578476
2/28/2022,182.949997,1762.985596,162.844757
3/1/2022,181.710007,1806.049194,160.951233
3/2/2022,179.149994,1780.319214,164.264893
3/3/2022,176.089996,1761.360718,163.939484
3/4/2022,170.75,1848.480713,160.9216
3/7/2022,160.169998,1742.582275,157.10495
3/8/2022,156.339996,1655.191406,155.270584
3/9/2022,164.050003,1788.444702,160.704636
3/10/2022,164.429993,1841.258301,156.335678
3/11/2022,158.270004,1809.660156,152.5979
3/14/2022,161.089996,1765.694214,148.544556
3/15/2022,165.929993,1772.735718,152.952957
3/16/2022,171.889999,1739.513062,157.390945
3/17/2022,171.740005,1751.42981,158.406738
3/18/2022,171.699997,1718.567871,161.720444
3/21/2022,171.800003,1774.360962,163.101151
3/22/2022,172.820007,1753.05481,166.493774
3/23/2022,175.779999,1824.105103,167.864624
3/24/2022,180.270004,1812.368774,171.671448
3/25/2022,178.429993,1882.335571,172.312469
3/28/2022,177.850006,1878.724487,173.180359
3/29/2022,184.809998,1905.356934,176.494049
3/30/2022,180.619995,1861.119751,175.320435
3/31/2022,180.25,1825.459229,172.203995
4/1/2022,180.369995,1906.259644,171.908127
4/4/2022,182.580002,1903.551392,175.981232
4/5/2022,177.660004,1913.482056,172.647797
4/6/2022,176.520004,1910.322266,169.462296
4/7/2022,174.490005,1914.836548,169.768021
4/8/2022,170.779999,1924.315796,167.746277
4/11/2022,169.639999,1883.238281,163.466095
4/12/2022,165.729996,1957.2677,165.349762
4/13/2022,168.440002,1927.475586,168.051987
4/14/2022,167.259995,1955.010986,163.012405
4/18/2022,170.270004,1969.907349,162.795441
4/19/2022,171.449997,1978.935181,165.093307
4/20/2022,175.449997,2011.435913,164.925659
4/21/2022,173.669998,1993.380005,164.126831
4/22/2022,169.529999,2006.019409,159.560623
4/25/2022,172.160004,1975.32373,160.635605
4/26/2022,166.820007,1872.855957,154.63942
4/27/2022,168.039993,1917.544556,154.412537
4/28/2022,172.970001,1923.412964,161.385147
4/29/2022,171,1972.615479,155.477676
5/2/2022,170.690002,1961.782104,155.783401
5/3/2022,172.059998,2000.602051,157.282455
5/4/2022,174.850006,2008.727173,163.73233
5/5/2022,169.929993,2070.11792,154.609802
5/6/2022,173.300003,2075.98584,155.340683
5/9/2022,168.470001,2008.727173,150.185028
5/10/2022,166.449997,2016.401245,152.604843
5/11/2022,157.059998,2091.333252,144.693588
5/12/2022,158.539993,2022.720703,140.802185
5/13/2022,161.330002,2079.597168,145.296066
5/16/2022,159.210007,2110.292236,143.745438
5/17/2022,159.979996,2122.028809,147.399826
5/18/2022,155.479996,2140.084473,139.083633
5/19/2022,155.889999,2120.062988,135.656448
5/20/2022,158.660004,2127.347168,135.893463
5/23/2022,161.350006,2173.781738,141.345398
5/24/2022,160.600006,2154.206299,138.629318
5/25/2022,161.029999,2165.587891,138.787354
5/26/2022,165.529999,2188.804932,142.007141
5/27/2022,166.830002,2166.952881,147.794876
5/31/2022,166.369995,2161.48999,147.00473
6/1/2022,168.699997,2163.766602,146.876358
6/2/2022,170.240005,2149.653564,149.345551
6/3/2022,164.809998,2180.155029,143.587418
6/6/2022,165.580002,2199.730469,144.338028
6/7/2022,166.25,2221.582275,146.876358
6/8/2022,165.350006,2181.065918,146.13562
6/9/2022,164.509995,2128.712891,140.881195
6/10/2022,161.300003,2082.733154,135.439133
6/13/2022,155.5,2101.398438,130.25386
6/14/2022,155.160004,2067.709717,131.123016
6/15/2022,156.75,1952.078735,133.760071
6/16/2022,154.460007,1861.030273,128.456314
6/17/2022,153.949997,1921.577393,129.93782
6/21/2022,159.089996,1958.452393,134.194687
6/22/2022,159.139999,1890.165771,133.681091
6/23/2022,157.520004,1847.373169,136.565109
6/24/2022,159.080002,1900.636475,139.913315
6/27/2022,156.529999,1923.39856,139.913315
6/28/2022,157.110001,1982.124756,135.745316
6/29/2022,155.669998,1989.408936,137.513245
6/30/2022,154.169998,1942.973999,135.034195
7/1/2022,155.470001,1931.137817,137.216934
7/5/2022,154.669998,2005.797607,139.814545
7/6/2022,152.830002,1835.536743,141.15773
7/7/2022,157.149994,1797.478394,144.545471
7/8/2022,156.759995,1851.470337,145.226929
7/11/2022,155.169998,1860.575073,143.083694
7/12/2022,155.429993,1848.738647,144.061508
7/13/2022,155.440002,1819.148071,143.696075
7/14/2022,153.139999,1822.789917,146.639328
7/15/2022,156.699997,1763.062134,148.318359
7/18/2022,156.75,1811.499756,145.256592
7/19/2022,160.419998,1854.65686,149.138153
7/20/2022,157.899994,1851.925415,151.152939
7/21/2022,159.179993,1866.948364,153.434479
7/22/2022,160.300003,1846.917847,152.190002
7/25/2022,159.419998,1856.933105,151.064072
7/26/2022,158.059998,1883.79248,149.730713
7/27/2022,160.050003,1899.725952,154.85675
7/28/2022,159.509995,1927.950928,155.409805
7/29/2022,162.589996,1933.868896,160.50618
8/1/2022,166.770004,1983.945679,159.518524
8/2/2022,163.660004,1944.7948,158.037018
8/3/2022,163.130005,1972.109741,164.081573
8/4/2022,156.660004,1976.206665,163.765503
8/5/2022,157.309998,1941.608154,163.538025
8/8/2022,156.199997,1957.541504,163.063278
8/9/2022,152.940002,1968.011963,163.112747
8/10/2022,157.889999,1988.953247,167.385406
8/11/2022,158.600006,1975.296265,166.643631
8/12/2022,161.309998,2035.596313,170.21405
8/15/2022,160.460007,2036.97583,171.292099
8/16/2022,159.419998,2006.628052,171.133881
8/17/2022,160.770004,1994.213013,172.637222
8/18/2022,159.130005,2006.628052,172.241592
8/19/2022,156.460007,2039.27478,169.640427
8/22/2022,154.320007,2067.783447,165.733704
8/23/2022,153.479996,2063.64502,165.3974
8/24/2022,154.5,2131.237305,165.694107
8/25/2022,156,2108.246826,168.166748
8/26/2022,151.770004,2133.996338,161.826996
8/29/2022,151.770004,2146.411133,159.611526
8/30/2022,150.169998,2151.469482,157.16861
8/31/2022,149.369995,2105.947754,155.497116
9/1/2022,146.800003,2090.314453,156.229004
9/2/2022,145.559998,2137.214844,154.102554
9/6/2022,143.940002,2159.286133,152.836609
9/7/2022,143.339996,2122.960938,154.250931
9/8/2022,144.130005,2081.11792,152.76738
9/9/2022,145.589996,2087.554932,155.645462
9/12/2022,145.039993,2115.144043,161.639053
9/13/2022,140.229996,2134.91626,152.15416
9/14/2022,141.470001,2140.433594,153.608047
9/15/2022,140.449997,2152.848389,150.700241
9/16/2022,140.740005,2128.478516,149.048584
9/19/2022,141.449997,2111.925293,152.78714
9/20/2022,140.729996,2117.442871,155.180618
9/21/2022,137.580002,2147.331055,152.035446
9/22/2022,139.050003,2150.549805,151.066223
9/23/2022,137.279999,2036.515747,148.781509
9/26/2022,135.619995,2033.756714,149.117783
9/27/2022,135.740005,2063.185059,150.096954
9/28/2022,136.889999,2079.278076,148.197983
9/29/2022,133.759995,2061.345947,140.91864
9/30/2022,130.289993,2065.943848,136.685532
10/3/2022,135.589996,2114.683838,140.888977
10/4/2022,139.850006,2150.089844,144.498993
10/5/2022,138.089996,2187.335205,144.795685
10/6/2022,136.169998,2126.179688,143.836334
10/7/2022,135.850006,2156.987305,138.554825
10/10/2022,134.860001,2140.433594,138.88121
10/11/2022,135.059998,2102.269287,137.45697
10/12/2022,135,2086.635498,136.82402
10/13/2022,136.380005,2117.442871,141.423065
10/14/2022,134.110001,2087.554932,136.863571
10/17/2022,136.160004,2084.33667,140.849426
10/18/2022,134.259995,2071.921631,142.174713
10/19/2022,132.970001,2090.314453,142.283508
10/20/2022,133.240005,2133.536621,141.81868
10/21/2022,133.759995,2155.60791,145.656158
10/24/2022,134.740005,2156.527344,147.812241
10/25/2022,137.070007,2105.487793,150.670609
10/26/2022,137.929993,2114.683838,147.713364
10/27/2022,136.470001,2230.097412,143.213211
10/28/2022,139.520004,2224.119629,154.033325
10/31/2022,138.809998,2210.7854,151.659653
11/1/2022,135.160004,2256.766602,148.999115
11/2/2022,135.389999,2232.856445,143.440689
11/3/2022,135.25,2291.25293,137.358093
11/4/2022,137.350006,2323.439697,137.090622
11/7/2022,137.259995,2299.989014,137.62558
11/8/2022,137.5,2242.05249,138.20018
11/9/2022,134.529999,2191.932861,133.613312
11/10/2022,140.520004,2147.507813,145.501495
11/11/2022,143.259995,2189.251709,148.305145
11/14/2022,142.119995,2187.396729,146.898376
11/15/2022,143.75,2203.166748,148.641968
11/16/2022,142.119995,2198.992432,147.403595
11/17/2022,142.929993,2193.426514,149.315628
11/18/2022,143.190002,2174.873535,149.880295
11/21/2022,142.160004,2108.082764,146.630875
11/22/2022,145.330002,2210.124268,148.78064
11/23/2022,146.710007,2186.005371,149.662384
11/25/2022,148.270004,2173.018066,146.72995
11/28/2022,146.509995,2195.745605,142.876205
11/29/2022,145.399994,2189.716064,139.85463
11/30/2022,147.690002,2226.821777,146.650681
12/1/2022,147.660004,2267.174561,146.92807
12/2/2022,146.529999,2209.6604,146.432724
12/5/2022,143.190002,2194.354004,145.263763
12/6/2022,141.089996,2203.630371,141.5784
12/7/2022,141.860001,2187.86084,139.62677
12/8/2022,142.279999,2147.97168,141.320816
12/9/2022,143.339996,2142.405762,140.835388
12/12/2022,144.119995,2120.605957,143.143677
12/13/2022,144.5,2129.418457,144.114548
12/14/2022,144.649994,2150.290527,141.87561
12/15/2022,141.660004,2129.88208,135.228149
12/16/2022,140.429993,2123.852783,133.256653
12/19/2022,139.610001,2080.717041,131.136612
12/20/2022,138.830002,2121.533691,131.067276
12/21/2022,137.460007,2140.550537,134.187912
